state,district,average_annual_rainfall,average_temperature,average_humidity
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805.2,27.2,80.0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3015.7,27.2,80.0
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2913.3,27.475,74.0
ARUNACHAL PRADESH,LOHIT,3043.8,15.03,45.725
ARUNACHAL PRADESH,EAST SIANG,4034.7,18.3,34.0
ARUNACHAL PRADESH,UPPER SUBANSIRI,1300.4,15.03,45.725
ARUNACHAL PRADESH,TIRAP,3571.5,15.03,45.725
ARUNACHAL PRADESH,ANJAW,3043.8,15.03,45.725
ARUNACHAL PRADESH,LOWER DIBANG,2553.3,15.03,45.725
ARUNACHAL PRADESH,CHANGLANG,3543.9,15.03,45.725
ARUNACHAL PRADESH,PAPUM PARE,3378.2,38.2,23.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,1921.1,15.03,45.725
ARUNACHAL PRADESH,UPPER SIANG,4402.1,15.03,45.725
ARUNACHAL PRADESH,WEST SIANG,2440.7,18.3,34.0
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2553.3,15.03,45.725
ARUNACHAL PRADESH,WEST KAMENG,3399.4,24.4,37.0
ARUNACHAL PRADESH,EAST KAMENG,2030.9,24.4,37.0
ARUNACHAL PRADESH,TAWANG,3399.4,15.03,45.725
ARUNACHAL PRADESH,KURUNG KUMEY,2221.5,-21.5,93.0
ASSAM,CACHAR,2999.2,27.0,61.0
ASSAM,DARRANG,1957.8,18.9,64.0
ASSAM,GOALPARA,2575.3,19.3075,56.9
ASSAM,KAMRUP,1813.4,19.3075,56.9
ASSAM,LAKHIMPUR,2859.3,19.3075,56.9
ASSAM,DIMA HASAO,1977.5,19.3075,56.9
ASSAM,NAGAON,1660.1,19.3075,56.9
ASSAM,SIVASAGAR,1811.6,19.3075,56.9
ASSAM,BARPETA,3274.6,15.4,73.0
ASSAM,DHUBRI,2702.6,17.3,60.0
ASSAM,DIBRUGARH,2556.6,19.3075,56.9
ASSAM,JORHAT,2083.0,19.3075,56.9
ASSAM,KARIMGANJ,3650.8,19.3075,56.9
ASSAM,KOKRAJHAR,3772.2,19.3075,56.9
ASSAM,SONITPUR,1978.5,19.3075,56.9
ASSAM,GOLAGHAT,1680.7,19.3075,56.9
ASSAM,TINSUKIA,2485.3,19.3075,56.9
ASSAM,HAILAKANDI,2645.6,19.3075,56.9
ASSAM,DHEMAJI,2859.3,19.3075,56.9
ASSAM,KARBI ANGLONG,1341.0,19.3075,56.9
ASSAM,UDALGURI,1957.8,19.3075,56.9
ASSAM,KAMRUP METROPOLITAN,1813.4,19.3075,56.9
ASSAM,CHIRANG,3218.7,19.3075,56.9
ASSAM,BAKSA,3274.6,19.3075,56.9
ASSAM,BONGAIGAON,3218.7,16.6,75.0
ASSAM,MORIGAON,1743.5,19.3075,56.9
ASSAM,NALBARI,2356.6,19.3075,56.9
MEGHALAYA,EAST KHASI HILLS,6166.1,14.328125,53.46875
MEGHALAYA,JAINTIA HILLS,6379.9,20.2,78.0
MEGHALAYA,EAST GARO HILLS,2554.4,14.328125,53.46875
MEGHALAYA,RI-BHOI,2116.9,14.328125,53.46875
MEGHALAYA,SOUTH GARO HILLS,2459.8,14.328125,53.46875
MEGHALAYA,WEST KHASI HILLS,3643.0,14.328125,53.46875
MEGHALAYA,WEST GARO HILLS,2459.8,14.328125,53.46875
MANIPUR,IMPHAL EAST,1839.2,7.5,65.0
MANIPUR,SENAPATI,1922.6,18.68,59.85
MANIPUR,TAMENGLONG,7229.3,18.68,59.85
MANIPUR,CHANDEL,2647.5,18.68,59.85
MANIPUR,UKHRUL,1549.0,18.68,59.85
MANIPUR,THOUBAL,1286.3,18.68,59.85
MANIPUR,BISHNUPUR,2127.5,19.0,88.0
MANIPUR,IMPHAL WEST,1530.9,7.5,65.0
MANIPUR,CHURACHANDPUR,2337.4,8.5,71.0
MIZORAM,AIZAWL,2814.4,13.2,61.0
MIZORAM,CHAMPHAI,2168.6,27.0,61.0
MIZORAM,KOLASIB,2660.0,27.0,61.0
MIZORAM,LUNGLEI,2731.1,11.5,52.0
MIZORAM,CHHIMTUIPUI,2814.4,18.102777777777774,50.75
MIZORAM,LAWNGTLAI,2557.6,11.7,48.0
MIZORAM,MAMIT,2814.4,8.9,61.0
MIZORAM,SAIHA,2480.6,18.102777777777774,50.75
MIZORAM,SERCHHIP,2505.8,11.9,52.0
NAGALAND,KOHIMA,1824.8,8.7,52.0
NAGALAND,TUENSANG,2080.0,6.8,97.0
NAGALAND,MOKOKCHUNG,2409.8,12.8,81.0
NAGALAND,DIMAPUR,1305.9,12.7,63.0
NAGALAND,WOKHA,2497.7,15.975,62.225
NAGALAND,MON,1339.9,16.1,78.0
NAGALAND,ZUNHEBOTO,2080.0,9.2,88.0
NAGALAND,PHEK,1824.8,7.0,93.0
NAGALAND,KIPHIRE,2080.0,15.975,62.225
NAGALAND,LONGLENG,2080.0,27.0,61.0
NAGALAND,PEREN,1824.8,6.2,75.0
TRIPURA,NORTH TRIPURA,2641.8,15.4,54.0
TRIPURA,SOUTH TRIPURA,2475.4,15.4,54.0
TRIPURA,WEST TRIPURA,2286.7,15.4,54.0
TRIPURA,DHALAI,2512.6,13.2,69.0
WEST BENGAL,COOCH BEHAR,3443.7,17.8,64.0
WEST BENGAL,DARJEELING,3118.5,21.6025,48.7
WEST BENGAL,JALPAIGURI,3468.3,17.3,68.0
WEST BENGAL,MALDA,1419.4,21.6025,48.7
WEST BENGAL,DAKSHIN DINAJPUR,1584.9,21.6025,48.7
WEST BENGAL,UTTAR DINAJPUR,1727.6,21.6025,48.7
SIKKIM,NORTH SIKKIM,3094.5,7.1,84.0
SIKKIM,EAST SIKKIM,2582.2,7.1,84.0
SIKKIM,WEST SIKKIM,3094.5,7.1,84.0
SIKKIM,SOUTH SIKKIM,2582.2,7.1,84.0
WEST BENGAL,BANKURA,1330.9,19.1,50.0
WEST BENGAL,BIRBHUM,1392.8,27.0,61.0
WEST BENGAL,BURDWAN,1315.2,19.0,52.0
WEST BENGAL,HOOGHLY,1418.7,19.0,88.0
WEST BENGAL,HOWRAH,1600.0,19.0,88.0
WEST BENGAL,PURULIA,1363.3,21.6025,48.7
WEST BENGAL,MURSHIDABAD,1391.1,21.6025,48.7
WEST BENGAL,NADIA,1261.6,21.6025,48.7
WEST BENGAL,NORTH 24 PARGANAS,1559.8,21.6025,48.7
WEST BENGAL,SOUTH 24 PARGANAS,2088.0,21.6025,48.7
WEST BENGAL,PURBA MEDINIPUR,1669.6,21.6025,48.7
WEST BENGAL,PASCHIM MEDINIPUR,1535.5,21.6025,48.7
WEST BENGAL,KOLKATA,1709.2,21.6025,48.7
ODISHA,BALASORE,1679.0,19.37040157404953,51.673764245958125
ODISHA,BALANGIR,1370.8,19.37040157404953,51.673764245958125
ODISHA,KANDHAMAL,1448.3,19.37040157404953,51.673764245958125
ODISHA,CUTTACK,1519.7,19.37040157404953,51.673764245958125
ODISHA,DHENKANAL,1469.0,19.37040157404953,51.673764245958125
ODISHA,GANJAM,1304.5,19.37040157404953,51.673764245958125
ODISHA,KALAHANDI,1403.0,19.37040157404953,51.673764245958125
ODISHA,KEONJHAR,1436.7,19.37040157404953,51.673764245958125
ODISHA,KORAPUT,1622.5,19.37040157404953,51.673764245958125
ODISHA,MAYURBHANJ,1660.7,19.37040157404953,51.673764245958125
ODISHA,PURI,1416.2,19.37040157404953,51.673764245958125
ODISHA,SAMBALPUR,1533.5,19.37040157404953,51.673764245958125
ODISHA,SUNDARGARH,1347.8,19.37040157404953,51.673764245958125
ODISHA,BHADRAK,1507.4,19.37040157404953,51.673764245958125
ODISHA,JAJPUR,1541.3,19.37040157404953,51.673764245958125
ODISHA,KENDRAPARA,1540.6,19.37040157404953,51.673764245958125
ODISHA,ANGUL,1362.0,19.37040157404953,51.673764245958125
