State/UT,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Last Updated
Andhra Pradesh,Anantapur,22.1,Clear,64,14.4,2025-01-23 23:00:00
Andhra Pradesh,Chittoor,18.5,Clear,93,4.0,2025-01-23 23:00:00
Andhra Pradesh,East Godavari,19.4,Clear,86,3.6,2025-01-23 23:00:00
Andhra Pradesh,Guntur,22.3,Mist,88,5.4,2025-01-23 23:00:00
Andhra Pradesh,Krishna,22.3,Mist,88,10.8,2025-01-23 23:00:00
Andhra Pradesh,Kurnool,21.8,Clear,66,16.9,2025-01-23 23:00:00
Andhra Pradesh,Prakasam,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Andhra Pradesh,Srikakulam,20.8,Clear,78,3.6,2025-01-23 23:00:00
Andhra Pradesh,Visakhapatnam,23.3,Clear,67,3.6,2025-01-23 23:00:00
Andhra Pradesh,Vizianagaram,19.9,Clear,77,3.6,2025-01-23 23:00:00
Arunachal Pradesh,Tawang,0.2,Partly Cloudy,87,4.0,2025-01-23 23:00:00
Arunachal Pradesh,West Kameng,24.4,Clear,37,7.9,2025-01-24 00:30:00
Arunachal Pradesh,East Kameng,24.4,Clear,37,7.9,2025-01-24 00:30:00
Arunachal Pradesh,Papum Pare,38.2,Sunny,23,6.5,2025-01-23 17:30:00
Arunachal Pradesh,Kurung Kumey,-21.5,Light snow,93,22.0,2025-01-23 22:30:00
Arunachal Pradesh,Kra Daadi,30.5,Clear,29,16.9,2025-01-23 20:30:00
Arunachal Pradesh,Lower Subansiri,-7.8,Sunny,37,11.5,2025-01-23 12:30:00
Arunachal Pradesh,Upper Subansiri,17.7,Mist,94,3.6,2025-01-23 23:00:00
Arunachal Pradesh,West Siang,18.3,Clear,34,6.8,2025-01-23 23:00:00
Arunachal Pradesh,East Siang,18.3,Clear,34,6.8,2025-01-23 23:00:00
Assam,Baksa,12.8,Partly Cloudy,74,4.0,2025-01-23 23:00:00
Assam,Barpeta,15.4,Clear,73,6.5,2025-01-23 23:00:00
Assam,Biswanath,20.7,Clear,74,9.4,2025-01-23 23:00:00
Assam,Bongaigaon,16.6,Clear,75,3.6,2025-01-23 23:00:00
Assam,Cachar,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Assam,Charaideo,27.0,Sunny,61,3.6,2025-01-23 11:30:00
